Id,Type,Name,Description,IsActive,IntValue,StringValue,Latitude,Longitude,ParentId
76,PRG,SDP,NULL,1,NULL,NULL,NULL,NULL,NULL
77,PRG,UPG,NULL,1,NULL,NULL,NULL,NULL,NULL
78,PRG,UDP,NULL,1,NULL,NULL,NULL,NULL,NULL
79,PRG,WASH,NULL,1,NULL,NULL,NULL,NULL,NULL
80,PRG,BRACU-JPG,NULL,1,NULL,NULL,NULL,NULL,NULL
81,PRG,SIL,NULL,1,NULL,NULL,NULL,NULL,NULL
82,DNR,Sesame Workshop,NULL,1,NULL,NULL,NULL,NULL,NULL
83,DNR,Open Society  Foundation,NULL,1,NULL,NULL,NULL,NULL,NULL
84,DNR,Partnering the Green Growth and the Global Goals 2030(G)Hydro Industries limited,NULL,1,NULL,NULL,NULL,NULL,NULL
85,DNR,Vision Spring,NULL,1,NULL,NULL,NULL,NULL,NULL
86,PSM,common,NULL,1,NULL,"taposh.r@brac.net,khaled.m@brac.net,hossain.sm@brac.net,hafizur.rah@brac.net,salam.ad@brac.net,akram.haider@brac.net",NULL,NULL,NULL
87,DNR,University of Saskatchewn,NULL,1,NULL,NULL,NULL,NULL,NULL
88,DNR,USAID,NULL,1,NULL,NULL,NULL,NULL,NULL
89,OPM,HNPP,NULL,1,NULL,"reshma.khanam@brac.net,
morsheda.c@brac.net,
monowar.a@brac.net,
touhidul.is@brac.net,
imran.ac@brac.net,
edwin.tg@brac.net,
syeda.rifat@brac.net,
shamal.kr@brac.net,
mamun.miah@brac.net,
sohely.r@brac.net,
",NULL,NULL,NULL
90,OPM,WASH,NULL,1,NULL,"abu.taleb@brac.net
,farukh.hossain@brac.net
,rafiqul.islam3@brac.net
,ridwanul.ha@brac.net
,janir.ahmed@brac.net
",NULL,NULL,NULL
91,OPM,UDP,NULL,1,NULL,"sajal.saha@brac.net
,raju.basak@brac.net
,abdul.malek1@brac.net
,kamal.hs@brac.net,
,goutam.ka@brac.net,
",NULL,NULL,NULL
92,OPM,SDP,NULL,1,NULL,"
bipul.gharami@brac.net
banarjee.william@brac.net
",NULL,NULL,NULL
93,OPM,IDP,NULL,1,NULL,"mosud.ahmed@brac.net
,abu.hanif@brac.net
, aftab.is@brac.net
,sofrul.islam@brac.net

",NULL,NULL,NULL
94,OPM,GJD,NULL,1,NULL,"
alam.m@brac.net,nuara.aziz@brac.net
",NULL,NULL,NULL
95,OPM,CEP,NULL,1,NULL,"intaz.al@brac.net,
reza.m@brac.net,

",NULL,NULL,NULL
96,OPM,UPG,NULL,1,NULL,"
shadekul.ik@brac.net

",NULL,NULL,NULL
97,OPM,SIL,NULL,1,NULL,"daulat.rashid@brac.net
",NULL,NULL,NULL
98,OPM,CCP,NULL,1,NULL,"morshed.n@brac.net

",NULL,NULL,NULL
99,OPM,DRMP,NULL,1,NULL,"safwat.hossain@brac.net,
firoz.h@brac.net
",NULL,NULL,NULL
100,OPM,HRLS,NULL,1,NULL,"sadhan.kn@brac.net,
mimo.sarker@brac.net,ekramul.ha@brac.net
",NULL,NULL,NULL
101,OPM,Migration,NULL,1,NULL,"
swapan.kd@brac.net, 
farhad.ak@brac.net
",NULL,NULL,NULL
102,OPM,BUIED,NULL,1,NULL,tariqul.is@brac.net,NULL,NULL,NULL
103,OPM,TUP-delete,NULL,1,NULL,"rozina.h@brac.net,
sadekul.islam@brac.net,
sadekul.islam@brac.net,
",NULL,NULL,NULL
104,OPM,ASC,NULL,1,NULL,"shamim.m@brac.net, zahid.hossain@brac.net, qumruzzaman.m@brac.net
",NULL,NULL,NULL
105,SMM,BEP,NULL,1,NULL,"profulla.b@brac.net, Nazrul.i@brac.net",NULL,NULL,NULL
106,PRG,BRAC U,NULL,1,NULL,NULL,NULL,NULL,NULL
1083,DNR,DFAT,NULL,1,NULL,NULL,NULL,NULL,NULL
1084,FTP,Proposal,NULL,1,NULL,NULL,NULL,NULL,NULL
1085,FTP,Annual Report,NULL,1,NULL,NULL,NULL,NULL,NULL
1086,FTP,Audit Report,NULL,1,NULL,NULL,NULL,NULL,NULL
1087,FTP,DC-UNO Certificate,NULL,1,NULL,NULL,NULL,NULL,NULL
1088,DNR,IRARA,NULL,1,NULL,NULL,NULL,NULL,NULL
1090,SMM,PSU,NULL,1,NULL,"salam.ad@brac.net,khaled.m@brac.net",NULL,NULL,NULL
1091,SMM,ASC,NULL,0,NULL,NULL,NULL,NULL,NULL
1092,SMM,HNPP,NULL,1,NULL,"monowar.a@brac.net, ariful.a@brac.net",NULL,NULL,NULL
1093,SMM,WASH,NULL,1,NULL,zillur.rah@brac.net,NULL,NULL,NULL
1094,SMM,UDP,NULL,1,NULL,imamul.shahi@brac.net,NULL,NULL,NULL
1095,SMM,SDP,NULL,1,NULL,Joydeep.sr@brac.net,NULL,NULL,NULL
1096,SMM,IDP,NULL,1,NULL,shyam.saha@brac.net,NULL,NULL,NULL
1097,SMM,UPG,NULL,1,NULL,shahid.u@brac.net,NULL,NULL,NULL
1098,SMM,CCP,NULL,1,NULL,abu.khan@brac.net,NULL,NULL,NULL
1099,SMM,DRMP,NULL,1,NULL,khondoker.tawhid@brac.net,NULL,NULL,NULL
1100,SMM,Migration,NULL,1,NULL,shariful.hasan@brac.net,NULL,NULL,NULL
1101,SMM,F&A,NULL,1,NULL,najmul.hoque@brac.net,NULL,NULL,NULL
1102,SMM,GJD,NULL,1,NULL,masuma.billah@brac.net,NULL,NULL,NULL
1103,SMM,CEP,NULL,1,NULL,"shashwatee.biplob@brac.net ",NULL,NULL,NULL
1104,SMM,BUIED,NULL,1,NULL,sazia.zaman@bracu.ac.bd,NULL,NULL,NULL
1105,OPM,AFS,NULL,1,NULL,NULL,NULL,NULL,NULL
1106,SMM,AFS,NULL,1,NULL,NULL,NULL,NULL,NULL
1107,SMM,SIL,NULL,1,NULL,rakib.ma@brac.net,NULL,NULL,NULL
1108,OPM,BRACU-JPG,NULL,1,NULL,munirul.islam@bracu.ac.bd,NULL,NULL,NULL
1109,SMM,BRACU_JPG,NULL,1,NULL,NULL,NULL,NULL,NULL
1110,SMM,BRACU,NULL,1,NULL,a.choudhury@bracu.ac.bd,NULL,NULL,NULL
1111,OPM,BRACU,NULL,1,NULL,iffat.enam@bracu.ac.bd,NULL,NULL,NULL
1112,DNR,C&A Foundation,NULL,1,NULL,NULL,NULL,NULL,NULL
1113,FTP,Fund Release Letter - NGoB,NULL,1,NULL,NULL,NULL,NULL,NULL
1114,FTP,Letter - NGoB,NULL,1,NULL,NULL,NULL,NULL,NULL
1115,FTP,Audit Report Acceptance Letter - NGoB,NULL,1,NULL,NULL,NULL,NULL,NULL
1116,DIS,Barguna,NULL,1,NULL,NULL,NULL,NULL,NULL
1117,DIS,Barishal,NULL,1,NULL,NULL,NULL,NULL,NULL
1118,DIS,Bhola,NULL,1,NULL,NULL,NULL,NULL,NULL
1119,DIS,Jhalokati,NULL,1,NULL,NULL,NULL,NULL,NULL
1120,DIS,Patuakhali,NULL,1,NULL,NULL,NULL,NULL,NULL
1121,DIS,Pirojpur,NULL,1,NULL,NULL,NULL,NULL,NULL
1122,DIS,Bandarban,NULL,1,NULL,NULL,NULL,NULL,NULL
1123,DIS,Brahmanbaria,NULL,1,NULL,NULL,NULL,NULL,NULL
1124,DIS,Chandpur,NULL,1,NULL,NULL,NULL,NULL,NULL
1125,DIS,Chattogram,NULL,1,NULL,NULL,NULL,NULL,NULL
1126,DIS,Cumilla,NULL,1,NULL,NULL,NULL,NULL,NULL
1127,DIS,Coxs Bazar,NULL,1,NULL,NULL,NULL,NULL,NULL
1128,DIS,Feni,NULL,1,NULL,NULL,NULL,NULL,NULL
1129,DIS,Khagrachhari,NULL,1,NULL,NULL,NULL,NULL,NULL
1130,DIS,Lakshmipur,NULL,1,NULL,NULL,NULL,NULL,NULL
1131,DIS,Noakhali,NULL,1,NULL,NULL,NULL,NULL,NULL
1132,DIS,Rangamati,NULL,1,NULL,NULL,NULL,NULL,NULL
1133,DIS,Dhaka,NULL,1,NULL,NULL,NULL,NULL,NULL
1134,DIS,Faridpur,NULL,1,NULL,NULL,NULL,NULL,NULL
1135,DIS,Gazipur,NULL,1,NULL,NULL,NULL,NULL,NULL
1136,DIS,Gopalganj,NULL,1,NULL,NULL,NULL,NULL,NULL
1137,DIS,Kishoreganj,NULL,1,NULL,NULL,NULL,NULL,NULL
1138,DIS,Madaripur,NULL,1,NULL,NULL,NULL,NULL,NULL
1139,DIS,Manikganj,NULL,1,NULL,NULL,NULL,NULL,NULL
1140,DIS,Munshiganj,NULL,1,NULL,NULL,NULL,NULL,NULL
1141,DIS,Narayanganj,NULL,1,NULL,NULL,NULL,NULL,NULL
1142,DIS,Narsingdi,NULL,1,NULL,NULL,NULL,NULL,NULL
1143,DIS,Rajbari,NULL,1,NULL,NULL,NULL,NULL,NULL
1144,DIS,Shariatpur,NULL,1,NULL,NULL,NULL,NULL,NULL
1145,DIS,Tangail,NULL,1,NULL,NULL,NULL,NULL,NULL
1146,DIS,Bagerhat,NULL,1,NULL,NULL,NULL,NULL,NULL
1147,DIS,Chuadanga,NULL,1,NULL,NULL,NULL,NULL,NULL
1148,DIS,Jashore,NULL,1,NULL,NULL,NULL,NULL,NULL
1149,DIS,Jhenaidah,NULL,1,NULL,NULL,NULL,NULL,NULL
1150,DIS,Khulna,NULL,1,NULL,NULL,NULL,NULL,NULL
1151,DIS,Kushtia,NULL,1,NULL,NULL,NULL,NULL,NULL
1152,DIS,Magura,NULL,1,NULL,NULL,NULL,NULL,NULL
1153,DIS,Meherpur,NULL,1,NULL,NULL,NULL,NULL,NULL
1154,DIS,Narail,NULL,1,NULL,NULL,NULL,NULL,NULL
1155,DIS,Satkhira,NULL,1,NULL,NULL,NULL,NULL,NULL
1156,DIS,Jamalpur,NULL,1,NULL,NULL,NULL,NULL,NULL
1157,DIS,Mymensingh,NULL,1,NULL,NULL,NULL,NULL,NULL
1158,DIS,Netrokona,NULL,1,NULL,NULL,NULL,NULL,NULL
1159,DIS,Sherpur,NULL,1,NULL,NULL,NULL,NULL,NULL
1160,DIS,Bogura,NULL,1,NULL,NULL,NULL,NULL,NULL
1161,DIS,Joypurhat,NULL,1,NULL,NULL,NULL,NULL,NULL
1162,DIS,Naogaon,NULL,1,NULL,NULL,NULL,NULL,NULL
1163,DIS,Natore,NULL,1,NULL,NULL,NULL,NULL,NULL
1164,DIS,Chapainawabganj,NULL,1,NULL,NULL,NULL,NULL,NULL
1165,DIS,Pabna,NULL,1,NULL,NULL,NULL,NULL,NULL
1166,DIS,Rajshahi,NULL,1,NULL,NULL,NULL,NULL,NULL
1167,DIS,Sirajganj,NULL,1,NULL,NULL,NULL,NULL,NULL
1168,DIS,Dinajpur,NULL,1,NULL,NULL,NULL,NULL,NULL
1169,DIS,Gaibandha,NULL,1,NULL,NULL,NULL,NULL,NULL
1170,DIS,Kurigram,NULL,1,NULL,NULL,NULL,NULL,NULL
1171,DIS,Lalmonirhat,NULL,1,NULL,NULL,NULL,NULL,NULL
1172,DIS,Nilphamari,NULL,1,NULL,NULL,NULL,NULL,NULL
1173,DIS,Panchagarh,NULL,1,NULL,NULL,NULL,NULL,NULL
1174,DIS,Rangpur,NULL,1,NULL,NULL,NULL,NULL,NULL
1175,DIS,Thakurgaon,NULL,1,NULL,NULL,NULL,NULL,NULL
1176,DIS,Habiganj,NULL,1,NULL,NULL,NULL,NULL,NULL
1177,DIS,Moulvibazar,NULL,1,NULL,NULL,NULL,NULL,NULL
1178,DIS,Sunamganj,NULL,1,NULL,NULL,NULL,NULL,NULL
1179,DIS,Sylhet,NULL,1,NULL,NULL,NULL,NULL,NULL
1181,DNR,LEGO Foundation,NULL,1,NULL,NULL,NULL,NULL,NULL
1182,DNR,"KFW Development Bank, Germany",NULL,1,NULL,NULL,NULL,NULL,NULL
1183,DNR,giz,NULL,1,NULL,NULL,NULL,NULL,NULL
2182,PRG,HCMP,NULL,1,NULL,NULL,NULL,NULL,NULL
2183,SMM,HCMP,NULL,1,NULL,rezaul.k@brac.net,NULL,NULL,NULL
2184,OPM,HCMP,NULL,1,NULL,"khaleduzzaman.km@brac.net, razaul.k@brac.net",NULL,NULL,NULL
2186,DNR,Stiftung Auxilium Foundation,NULL,1,NULL,NULL,NULL,NULL,NULL
2187,DNR,Embassy of Switzerland in Bangladesh,NULL,1,NULL,NULL,NULL,NULL,NULL
3182,DNR,Global Fund to End Modern Slavery,NULL,1,NULL,NULL,NULL,NULL,NULL
4182,FTP,Visitor's Feedback,NULL,1,NULL,NULL,NULL,NULL,NULL
5182,CUR,USD,NULL,1,NULL,NULL,NULL,NULL,NULL
5183,CUR,GBP,NULL,1,NULL,NULL,NULL,NULL,NULL
5184,CUR,CAD,NULL,1,NULL,NULL,NULL,NULL,NULL
5185,CUR,AUD,NULL,1,NULL,NULL,NULL,NULL,NULL
5186,TPS,Development Projects,NULL,1,NULL,NULL,NULL,NULL,NULL
5187,TPS,COVID-19 Projects,NULL,1,NULL,NULL,NULL,NULL,NULL
5188,PRL,Lead,NULL,1,NULL,NULL,NULL,NULL,NULL
5189,PRL,Program Focal,NULL,1,NULL,NULL,NULL,NULL,NULL
5190,PRL,Support,NULL,1,NULL,NULL,NULL,NULL,NULL
5191,PRL,Reviewer and Finalization,NULL,1,NULL,NULL,NULL,NULL,NULL
5193,PRT,FC1,NULL,1,NULL,NULL,NULL,NULL,NULL
6192,DNR,Unilever R&D Port Sunlight,NULL,1,NULL,NULL,NULL,NULL,NULL
7192,PRG,"Communication ",NULL,1,NULL,NULL,NULL,NULL,NULL
7193,OPM,"Communication ",NULL,1,NULL,ayesha.haque@brac.net,NULL,NULL,NULL
8192,DNR,IDRC,NULL,1,NULL,NULL,NULL,NULL,NULL
9192,DNR,FCDO,NULL,1,NULL,"Foreign, Commonwealth and Development Office",NULL,NULL,NULL
9193,DNR,"Bopinc (BoP Innovation Center), Netherlands",NULL,1,NULL,BoP Innovation Center,NULL,NULL,NULL
10193,DNR,HSBC Limited,NULL,1,NULL,NULL,NULL,NULL,NULL
10194,PRG,LLD,NULL,1,NULL,NULL,NULL,NULL,NULL
10195,DNR,"BAYER AG, Germany",NULL,1,NULL,NULL,NULL,NULL,NULL
10196,DNR,"The Coca-Cola Foundation Atlanta,USA",NULL,1,NULL,NULL,NULL,NULL,NULL
11193,DNR,Own Fund (BRAC),NULL,1,NULL,NULL,NULL,NULL,NULL
11194,DNR,"The Nippon Foundation, Japan",NULL,1,NULL,NULL,NULL,NULL,NULL
11195,DNR,"Mahidol-Oxford Tropical Medicine Research Unit (MORU), Thailand",NULL,1,NULL,NULL,NULL,NULL,NULL
11196,PRG,Malaria Control,NULL,1,NULL,NULL,NULL,NULL,NULL
11197,DNR,"iMC worldwide, UK",NULL,1,NULL,NULL,NULL,NULL,NULL
11198,PRG,Technology,NULL,1,NULL,NULL,NULL,NULL,NULL
12193,DNR,brac,NULL,1,NULL,NULL,NULL,NULL,NULL
12194,DNR,Facebook,NULL,1,NULL,NULL,NULL,NULL,NULL
12195,PRG,BLD,NULL,0,NULL,NULL,NULL,NULL,NULL
12196,DNR,"Commonwealth and Development Office(FCDO)e ",NULL,1,NULL,NULL,NULL,NULL,NULL
12197,SMM,HRLS,NULL,1,NULL,shashwatee.biplob@brac.net,NULL,NULL,NULL
12198,DNR,Global Road Safety Partnership,NULL,1,NULL,NULL,NULL,NULL,NULL
12199,PRG,RSP,NULL,1,NULL,NULL,NULL,NULL,NULL
12200,OPM,RSP,NULL,1,NULL,NULL,NULL,NULL,NULL
12201,SMM,RSP,NULL,1,NULL,NULL,NULL,NULL,NULL
13194,PRG,Malaria Control,NULL,0,NULL,NULL,NULL,NULL,NULL
13195,DNR,Standard  Chartered Foundation,NULL,1,NULL,NULL,NULL,NULL,NULL
13197,OPM,LLD,NULL,1,NULL,faisal.ahmed02@brac.net,NULL,NULL,NULL
13198,SMM,LLD,NULL,1,NULL,taher.ahmed@brac.net,NULL,NULL,NULL
13199,YER,Project End,Project End,1,999,NULL,NULL,NULL,NULL
14194,DNR,HANES Brands Ins .USA,NULL,1,NULL,NULL,NULL,NULL,NULL
14195,DNR,AIDA,NULL,1,NULL,NULL,NULL,NULL,NULL
14196,DNR,Exchange and Development Association,NULL,1,NULL,NULL,NULL,NULL,NULL
14197,DNR,Whole Planet Foundation,NULL,1,NULL,NULL,NULL,NULL,NULL
14198,DNR,Orbis,NULL,1,NULL,NULL,NULL,NULL,NULL
14200,DNR,BMGF,NULL,1,NULL,NULL,NULL,NULL,NULL
14201,DNR,ERRIN,NULL,1,NULL,NULL,NULL,NULL,NULL
14202,FTP,Project submission to DC-UNO Office,NULL,1,NULL,NULL,NULL,NULL,NULL
14203,FTP,NOC Submission to DC-UNO Office,NULL,1,NULL,NULL,NULL,NULL,NULL
15202,DNR,CAF America,NULL,1,NULL,NULL,NULL,NULL,NULL
15203,DNR,Bayer Crop Science Limited,NULL,1,NULL,NULL,NULL,NULL,NULL
16202,DNR,"EUROPEAN UNION ",NULL,1,NULL,NULL,NULL,NULL,NULL
16203,PRG,"Safe Guarding ",NULL,1,NULL,NULL,NULL,NULL,NULL
16204,DNR,Global Center on Adaption(GCA),NULL,1,NULL,NULL,NULL,NULL,NULL
16205,PRG,SELP,NULL,1,NULL,NULL,NULL,NULL,NULL
16206,OPM,SELP,NULL,1,NULL,"palash.kg@brac.net,mahanas.nasrin@brac.net,intaz.al@brac.net",NULL,NULL,NULL
16207,SMM,SELP,NULL,1,NULL,shashwatee.biplob@brac.net,NULL,NULL,NULL
17204,DIV,Dhaka,NULL,1,NULL,NULL,NULL,NULL,NULL
17205,REG,Manikgonj,NULL,1,NULL,NULL,NULL,NULL,17204
17209,DIV,Chattogram,NULL,1,NULL,NULL,NULL,NULL,NULL
17216,ACT,CD,NULL,1,NULL,NULL,NULL,NULL,NULL
17217,ACT,SND,NULL,1,NULL,NULL,NULL,NULL,NULL
18216,PRG,SELP,NULL,0,NULL,Social Empowerment and Legal protection,NULL,NULL,NULL
18217,DNR,Rutgers,NULL,1,NULL,NULL,NULL,NULL,NULL
18230,DIV,Rangpur,NULL,1,NULL,NULL,NULL,NULL,NULL
18232,DIV,Jashore,NULL,1,NULL,NULL,NULL,NULL,NULL
18233,DIV,Barishal,NULL,1,NULL,NULL,NULL,NULL,NULL
18234,DIV,Sylhet,NULL,1,NULL,NULL,NULL,NULL,NULL
18236,REG,Dhaka,NULL,1,NULL,NULL,NULL,NULL,17204
18237,REG,Gazipur,NULL,1,NULL,NULL,NULL,NULL,17204
18239,REG,Narayangonj,NULL,1,NULL,NULL,NULL,NULL,17204
18240,REG,Narsingdi,NULL,1,NULL,NULL,NULL,NULL,17204
18241,REG,Tangail,NULL,1,NULL,NULL,NULL,NULL,17204
18242,REG,Chandpur,NULL,1,NULL,NULL,NULL,NULL,17209
18243,REG,Chattogram,NULL,1,NULL,NULL,NULL,NULL,17209
18244,REG,Cox's Bazar,NULL,1,NULL,NULL,NULL,NULL,17209
18245,REG,Cumilla,NULL,1,NULL,NULL,NULL,NULL,17209
18246,REG,Feni,NULL,1,NULL,NULL,NULL,NULL,17209
18247,REG,Noakhali,NULL,1,NULL,NULL,NULL,NULL,17209
18248,REG,Rangamati,NULL,1,NULL,NULL,NULL,NULL,17209
18249,REG,Bogura,NULL,1,NULL,NULL,NULL,NULL,18230
18250,REG,Dinajpur,NULL,1,NULL,NULL,NULL,NULL,18230
18251,REG,Gaibandha,NULL,1,NULL,NULL,NULL,NULL,18230
18252,REG,Kurigram,NULL,1,NULL,NULL,NULL,NULL,18230
18253,REG,Naogaon,NULL,1,NULL,NULL,NULL,NULL,18230
18254,REG,Rangpur,NULL,1,NULL,NULL,NULL,NULL,18230
18255,REG,Thakurgaon,NULL,1,NULL,NULL,NULL,NULL,18230
18256,REG,Jashore,NULL,1,NULL,NULL,NULL,NULL,18232
18257,REG,Jhenaidah,NULL,1,NULL,NULL,NULL,NULL,18232
18258,REG,Khulna,NULL,1,NULL,NULL,NULL,NULL,18232
18259,REG,Kushtia,NULL,1,NULL,NULL,NULL,NULL,18232
18260,REG,Natore,NULL,1,NULL,NULL,NULL,NULL,18232
18261,REG,Pabna,NULL,1,NULL,NULL,NULL,NULL,18232
18262,REG,Rajshahi,NULL,1,NULL,NULL,NULL,NULL,18232
18263,REG,Barishal,NULL,1,NULL,NULL,NULL,NULL,18233
18264,REG,Faridpur,NULL,1,NULL,NULL,NULL,NULL,18233
18265,REG,Gopalgonj,NULL,1,NULL,NULL,NULL,NULL,18233
18266,REG,Madaripur,NULL,1,NULL,NULL,NULL,NULL,18233
18267,REG,Patuakhali,NULL,1,NULL,NULL,NULL,NULL,18233
18268,REG,Pirojpur,NULL,1,NULL,NULL,NULL,NULL,18233
18269,REG,B Baria,NULL,1,NULL,NULL,NULL,NULL,18234
18270,REG,Jamalpur,NULL,1,NULL,NULL,NULL,NULL,18234
18271,REG,Kishoregonj,NULL,1,NULL,NULL,NULL,NULL,18234
18272,REG,Mymensingh,NULL,1,NULL,NULL,NULL,NULL,18234
18273,REG,Netrokona,NULL,1,NULL,NULL,NULL,NULL,18234
18274,REG,Sreemongal,NULL,1,NULL,NULL,NULL,NULL,18234
18275,REG,Sylhet,NULL,1,NULL,NULL,NULL,NULL,18234
18276,UPZ,Dhamrai,NULL,1,NULL,NULL,NULL,NULL,17205
18277,UPZ,Harirampur,NULL,1,NULL,NULL,NULL,NULL,17205
18278,UPZ,Hemayetpur,NULL,1,NULL,NULL,NULL,NULL,17205
18279,UPZ,Manikgonj Sadar,NULL,1,NULL,NULL,NULL,NULL,17205
18280,UPZ,Pallabi,NULL,1,NULL,NULL,NULL,NULL,17205
18281,UPZ,Saturia,NULL,1,NULL,NULL,NULL,NULL,17205
18282,UPZ,Savar,NULL,1,NULL,NULL,NULL,NULL,17205
18283,UPZ,Shibaloya,NULL,1,NULL,NULL,NULL,NULL,17205
18284,UPZ,Singair,NULL,1,NULL,NULL,NULL,NULL,17205
18285,UPZ,Demra,NULL,1,NULL,NULL,NULL,NULL,18236
18286,UPZ,Dohar,NULL,1,NULL,NULL,NULL,NULL,18236
18287,UPZ,Gulshan,NULL,1,NULL,NULL,NULL,NULL,18236
18288,UPZ,Keranigonj,NULL,1,NULL,NULL,NULL,NULL,18236
18289,UPZ,Lalbagh,NULL,1,NULL,NULL,NULL,NULL,18236
18290,UPZ,Mohammadpur (Safesave),NULL,1,NULL,NULL,NULL,NULL,18236
18291,UPZ,Nawabgonj,NULL,1,NULL,NULL,NULL,NULL,18236
18292,UPZ,Sabujbag,NULL,1,NULL,NULL,NULL,NULL,18236
18293,UPZ,Shampur,NULL,1,NULL,NULL,NULL,NULL,18236
18294,UPZ,Gazipur Sadar,NULL,1,NULL,NULL,NULL,NULL,18237
18295,UPZ,Jirabo,NULL,1,NULL,NULL,NULL,NULL,18237
18296,UPZ,Kaliakair,NULL,1,NULL,NULL,NULL,NULL,18237
18297,UPZ,Konabari,NULL,1,NULL,NULL,NULL,NULL,18237
18298,UPZ,Mirzapur,NULL,1,NULL,NULL,NULL,NULL,18237
18299,UPZ,Sreepur,NULL,1,NULL,NULL,NULL,NULL,18237
18300,UPZ,Tongi,NULL,1,NULL,NULL,NULL,NULL,18237
18301,UPZ,Uttara,NULL,1,NULL,NULL,NULL,NULL,18237
